C1, 17.30, 18.25, 180.00, 100nF, C0603
C2, 17.30, 20.35, 180.00, 100nF, C0603
C3, 2.70, 15.05, 180.00, 100nF, C0603
IC1, 11.15, 20.32, 270.00, LD1117S33C, SOT223
Q1, 6.95, 25.55, 180.00, BSS138, SOT23-3
Q2, 10.95, 25.55, 180.00, BSS138, SOT23-3
Q3, 14.95, 25.55, 180.00, BSS138, SOT23-3
Q4, 2.95, 25.55, 180.00, BSS138, SOT23-3
R1, 6.95, 28.60, 180.00, 10k, R0603
R2, 5.95, 15.05, 0.00, 10k, R0603
R3, 9.50, 15.05, 0.00, 10k, R0603
R4, 10.95, 28.60, 180.00, 10k, R0603
R5, 16.50, 15.05, 0.00, 10k, R0603
R6, 14.95, 28.60, 180.00, 10k, R0603
R7, 2.95, 28.60, 180.00, 10k, R0603
R8, 13.00, 15.05, 0.00, 10k, R0603
